community_name,builder,location,price_range,commission_rate,registration_policy,registration_notes,status,builder_url
Eastmark,Toll Brothers,Mesa AZ,$650K-$950K,3.0,In-person,Toll Brothers requires in-person broker registration before your first visit. Call us before you go. We'll tell you exactly what to do to protect your rebate.,Active,https://www.tollbrothers.com
Cooley Station,Meritage Homes,Gilbert AZ,$450K-$650K,3.0,Remote,,Active,https://www.meritagehomes.com
Estrella,Taylor Morrison,Goodyear AZ,$400K-$600K,3.0,Remote,,Active,https://www.taylormorrison.com
