community_name,builder,location,price_range,commission_rate,registration_policy,registration_notes,status,builder_url
Paloma Creek,Meritage Homes,Surprise AZ,From $395K,3.0,Remote,,Active,https://www.meritagehomes.com/state/az/phoenix/paloma-creek-estate-series
Rancho Mirage,Meritage Homes,Maricopa AZ,From $340K,3.0,Remote,,Active,https://www.meritagehomes.com/state/az/phoenix/rancho-mirage-reserve-series
San Tan Groves,Meritage Homes,San Tan Valley AZ,From $450K,3.0,Remote,,Active,https://www.meritagehomes.com/state/az/phoenix/san-tan-groves-classic-series
Silva Farms,Meritage Homes,Goodyear AZ,Contact builder,3.0,Remote,,Active,https://www.meritagehomes.com/state/az/phoenix/silva-farms-reserve-series
White Tank Foothills,Meritage Homes,Waddell AZ,From $480K,3.0,Remote,,Active,https://www.meritagehomes.com/state/az/phoenix/white-tank-foothills-reserve-series
Wildera,Meritage Homes,San Tan Valley AZ,From $335K,3.0,Remote,,Active,https://www.meritagehomes.com/state/az/phoenix/wildera
Alta Vida at Westpark,William Ryan Homes,Buckeye AZ,From $396K,3.0,Remote,,Active,https://www.williamryanhomes.com/phoenix/buckeye/alta-vida-at-westpark
The Grove at El Cidro,William Ryan Homes,Goodyear AZ,From $460K,3.0,Remote,,Active,https://www.williamryanhomes.com/phoenix/goodyear/the-grove-at-el-cidro
The Ridge at Sienna Hills,William Ryan Homes,Buckeye AZ,From $470K,3.0,Remote,,Active,https://www.williamryanhomes.com/phoenix/buckeye/the-ridge-at-sienna-hills
Fairways in Victory at Verrado,William Ryan Homes,Buckeye AZ,From $546K,3.0,Remote,,Active,https://www.williamryanhomes.com/phoenix/buckeye/fairways-in-victory-at-verrado
Harmony at Montecito in Estrella,William Ryan Homes,Goodyear AZ,From $661K,3.0,Remote,,Active,https://www.williamryanhomes.com/phoenix/goodyear/harmony-at-montecito-in-estrella
Black Rock at Verrado,Woodside Homes,Buckeye AZ,From $500K,3.0,Remote,,Active,https://www.woodsidehomes.com/findmyhome/arizona/buckeye/black-rock-at-verrado
33 North,Woodside Homes,Gilbert AZ,From $1.15M,3.0,Remote,,Active,https://www.woodsidehomes.com/findmyhome/arizona/gilbert/33-north
Icon at Thunderbird,Woodside Homes,Glendale AZ,From $467K,3.0,Remote,,Active,https://www.woodsidehomes.com/findmyhome/arizona/glendale/icon-at-thunderbird
Estates at Kings Ranch,Woodside Homes,Gold Canyon AZ,From $923K,3.0,Remote,,Active,https://www.woodsidehomes.com/findmyhome/arizona/gold-canyon/estates-at-kings-ranch
313 E Wagon Wheel Dr,Thomas James Homes,Phoenix AZ,$3.2M,3.0,Remote,,Active,https://tjh.com/for-sale/313-e-wagon-wheel-dr/
9834 E Clinton St,Thomas James Homes,Scottsdale AZ,$4.88M,3.0,Remote,,Active,https://tjh.com/for-sale/9834-e-clinton-st/
13402 N 76th Pl,Thomas James Homes,Scottsdale AZ,$4.95M,3.0,Remote,,Active,https://tjh.com/for-sale/13402-n-76th-pl/
11428 N 69th St,Thomas James Homes,Scottsdale AZ,$4.24M,3.0,Remote,,Active,https://tjh.com/for-sale/11428-n-69th-st/
6932 E Joan De Arc A,Thomas James Homes,Scottsdale AZ,$3.73M,3.0,Remote,,Active,https://tjh.com/for-sale/6932-e-joan-de-arc-a/
6249 E Larkspur Dr,Thomas James Homes,Scottsdale AZ,$3.89M,3.0,Remote,,Active,https://tjh.com/for-sale/6249-e-larkspur-dr/
